Table Index,Row Index,Original English,Thai Translation,Status
1,626, , ,Skipped/Protected
1,627,Anya: Plastic waste is something I’m genuinely concerned about and all of us should be as it is one of the most significant environmental challenges of our time.  ,อันย่า: ขยะพลาสติกเป็นสิ่งที่ฉันกังวลอย่างแท้จริง และเราทุกคนก็ควรเป็นเช่นกัน เนื่องจากเป็นหนึ่งในความท้าทายด้านสิ่งแวดล้อมที่สำคัญที่สุดในยุคของเรา,Translated
1,628, , ,Skipped/Protected
1,629,"To better understand how it’s generated and managed, we can divide plastic waste into two main categories: Pre-consumer industrial plastic waste and Post-consumer plastic waste. Pre-consumer industrial plastic waste is generated during manufacturing, before products reach consumers. It mainly comes from plastic resin production and plastic product manufacturing. In resin production, waste includes synthetic resin by-products and residual resin from sieving, which can be recycled directly within factories. In plastic product manufacturing, edge cuts, gates, and defective products are produced during molding and reprocessing, and these can also be recycled and reused on-site.  ",เพื่อให้เข้าใจถึงวิธีการสร้างและจัดการได้ดีขึ้น เราสามารถแบ่งขยะพลาสติกออกเป็นสองประเภทหลัก ได้แก่ ขยะพลาสติกอุตสาหกรรมก่อนผู้บริโภค และขยะพลาสติกหลังผู้บริโภค ขยะพลาสติกอุตสาหกรรมก่อนผู้บริโภคถูกสร้างขึ้นในระหว่างการผลิตก่อนที่ผลิตภัณฑ์จะถึงมือผู้บริโภค ส่วนใหญ่มาจากการผลิตเม็ดพลาสติกและการผลิตผลิตภัณฑ์พลาสติก ในการผลิตเรซิน ของเสียรวมถึงผลพลอยได้จากเรซินสังเคราะห์และเรซินที่เหลือจากการกรอง ซึ่งสามารถรีไซเคิลได้โดยตรงภายในโรงงาน ในการผลิตผลิตภัณฑ์พลาสติก การตัดขอบ ประตู และผลิตภัณฑ์ที่มีข้อบกพร่องเกิดขึ้นในระหว่างการขึ้นรูปและการแปรรูปซ้ำ และยังสามารถรีไซเคิลและนำกลับมาใช้ใหม่ได้ที่ไซต์งานอีกด้วย,Translated
1,630, , ,Skipped/Protected
1,631,"Post-consumer plastic waste refers to plastics that have been used and discarded. It includes industrial and agricultural, commercial, and residential plastic waste. Industrial and agricultural waste consists of packaging plastics, pipe fittings, pipelines, and agricultural films, and continues to grow rapidly as these sectors expand. Commercial plastic waste comes from businesses such as shops, hotels, restaurants, and transport systems; while some sales-related plastics can be recycled, plastics generated during consumption are harder to recover and often become pollution. Residential plastic waste is the largest and fastest-growing category, including disposable items like packaging and Styrofoam, as well as durable goods such as utensils, lamps, and stationery. With rising consumption and convenience-based lifestyles, residential plastic waste is expected to increase significantly in the future. ",ขยะพลาสติกหลังการบริโภคหมายถึงพลาสติกที่ใช้แล้วและทิ้ง รวมถึงขยะพลาสติกในภาคอุตสาหกรรมและเกษตรกรรม พาณิชยกรรม และที่อยู่อาศัย ของเสียจากอุตสาหกรรมและเกษตรกรรมประกอบด้วยพลาสติกสำหรับบรรจุภัณฑ์ อุปกรณ์ท่อ ท่อส่ง และฟิล์มทางการเกษตร และยังคงเติบโตอย่างรวดเร็วเมื่อภาคส่วนเหล่านี้ขยายตัว ขยะพลาสติกเชิงพาณิชย์มาจากธุรกิจต่างๆ เช่น ร้านค้า โรงแรม ร้านอาหาร และระบบขนส่ง แม้ว่าพลาสติกที่เกี่ยวข้องกับการขายบางชนิดสามารถรีไซเคิลได้ แต่พลาสติกที่สร้างขึ้นระหว่างการบริโภคนั้นยากต่อการกู้คืนและมักจะกลายเป็นมลภาวะ ขยะพลาสติกสำหรับที่อยู่อาศัยถือเป็นประเภทที่ใหญ่ที่สุดและเติบโตเร็วที่สุด รวมถึงสิ่งของที่ใช้แล้วทิ้ง เช่น บรรจุภัณฑ์และโฟม เช่นเดียวกับสินค้าคงทน เช่น เครื่องใช้ต่างๆ โคมไฟ และเครื่องเขียน ด้วยการบริโภคที่เพิ่มขึ้นและไลฟ์สไตล์ตามความสะดวกสบาย ขยะพลาสติกในที่อยู่อาศัยคาดว่าจะเพิ่มขึ้นอย่างมีนัยสำคัญในอนาคต,Translated
1,632, , ,Skipped/Protected
1,633, , ,Skipped/Protected
1,634, , ,Skipped/Protected
1,635,Types of Plastic Waste Generation,ประเภทของขยะพลาสติก,Translated
1,636,Types of Plastic Waste Generation,ประเภทของขยะพลาสติก,Translated
1,637,Not everything about plastic is good.,ไม่ใช่ทุกอย่างเกี่ยวกับพลาสติกจะดี,Translated
1,638,Compostable industrial plastic waste,ขยะพลาสติกอุตสาหกรรมที่ย่อยสลายได้,Translated
1,639,Compostable domestic plastic waste,ขยะพลาสติกในครัวเรือนที่ย่อยสลายได้,Translated
1,640,Secondary microplastics,ไมโครพลาสติกทุติยภูมิ,Translated
1,641,Primary microplastics,ไมโครพลาสติกปฐมภูมิ,Translated
1,642,Select each type of plastic to learn about it.,เลือกพลาสติกแต่ละประเภทเพื่อเรียนรู้เกี่ยวกับมัน,Translated
1,643,"Professor Malee: To better understand the types of waste we're dealing with, let's examine the different categories of plastic waste generation.  ",ศาสตราจารย์มาลี: เพื่อให้เข้าใจถึงประเภทของขยะที่เรากำลังจัดการได้ดีขึ้น เรามาตรวจสอบประเภทต่างๆ ของการสร้างขยะพลาสติกกันดีกว่า,Translated
1,644, , ,Skipped/Protected
1,645,Select each type of plastic to learn about it.  ,เลือกพลาสติกแต่ละประเภทเพื่อเรียนรู้เกี่ยวกับมัน,Translated
1,646, , ,Skipped/Protected
1,647,Compostable industrial plastic waste: ,ขยะพลาสติกอุตสาหกรรมที่ย่อยสลายได้:,Translated
1,648,"Compostable industrial plastic waste refers to plastics that are designed to biodegrade at elevated temperatures, but only under specific industrial conditions and within defined time scales.  ",ขยะพลาสติกอุตสาหกรรมที่ย่อยสลายได้หมายถึงพลาสติกที่ได้รับการออกแบบมาเพื่อย่อยสลายทางชีวภาพที่อุณหภูมิสูง แต่ภายใต้เงื่อนไขทางอุตสาหกรรมที่เฉพาะเจาะจงและภายในระยะเวลาที่กำหนดเท่านั้น,Translated
1,649, , ,Skipped/Protected
1,650,Compostable domestic plastic waste: ,ขยะพลาสติกในครัวเรือนที่ย่อยสลายได้:,Translated
1,651,"Compostable domestic plastic waste can biodegrade at lower or moderate temperatures, typically within home compost systems, making them more suitable for household disposal.  ",ขยะพลาสติกในครัวเรือนที่ย่อยสลายได้สามารถย่อยสลายทางชีวภาพได้ในอุณหภูมิที่ต่ำหรือปานกลาง โดยทั่วไปแล้วจะอยู่ในระบบปุ๋ยหมักในบ้าน ทำให้เหมาะสำหรับการทิ้งในครัวเรือนมากขึ้น,Translated
1,652, , ,Skipped/Protected
1,653,Primary microplastics: ,ไมโครพลาสติกปฐมภูมิ:,Translated
1,654,Primary microplastics are intentionally manufactured tiny particles made to serve a particular function.  ,ไมโครพลาสติกปฐมภูมิคืออนุภาคขนาดเล็กที่ผลิตขึ้นโดยเจตนาซึ่งผลิตขึ้นเพื่อรองรับการทำงานเฉพาะอย่าง,Translated
1,655," Examples include plastic resin pellets, powders used for molding, and microbeads found in personal care products like toothpaste and facial scrubs.  ",ตัวอย่าง ได้แก่ เม็ดพลาสติกเรซิน ผงที่ใช้ขึ้นรูป และไมโครบีดที่พบในผลิตภัณฑ์ดูแลส่วนบุคคล เช่น ยาสีฟันและสครับผิวหน้า,Translated
1,656, , ,Skipped/Protected
1,657,Secondary microplastics: ,ไมโครพลาสติกทุติยภูมิ:,Translated
1,658,"Secondary microplastics are fragments, flakes or fibers, that originated from a larger item, either before entry into the environment or afterwards.  ",ไมโครพลาสติกทุติยภูมิคือชิ้นส่วน เกล็ด หรือเส้นใยที่เกิดจากสิ่งของที่มีขนาดใหญ่กว่า ไม่ว่าจะก่อนออกสู่สิ่งแวดล้อมหรือหลังจากนั้น,Translated
1,659, , ,Skipped/Protected
1,660,Compostable industrial plastic waste,ขยะพลาสติกอุตสาหกรรมที่ย่อยสลายได้,Translated
1,661,Biodegraded at elevated temperatures under specified conditions and time scales,ย่อยสลายทางชีวภาพที่อุณหภูมิสูงขึ้นภายใต้สภาวะและมาตราส่วนเวลาที่กำหนด,Translated
1,662,CONTINUE,CONTINUE,Skipped/Protected
1,663,CONTINUE,CONTINUE,Skipped/Protected
1,664,Continue,CONTINUE,Translated
1,665,Compostable domestic plastic waste,ขยะพลาสติกในครัวเรือนที่ย่อยสลายได้,Translated
1,666,"Biodegraded at low to moderate temperatures, found in a domestic compost system",ย่อยสลายทางชีวภาพที่อุณหภูมิต่ำถึงปานกลาง พบในระบบปุ๋ยหมักในครัวเรือน,Translated
1,667,CONTINUE,CONTINUE,Skipped/Protected
1,668,CONTINUE,CONTINUE,Skipped/Protected
1,669,Continue,CONTINUE,Translated
1,670,Primary microplastics,ไมโครพลาสติกปฐมภูมิ,Translated
1,671,Purposefully manufactured to a size or shape to fulfil a specific purpose ,ผลิตขึ้นโดยมีจุดประสงค์เพื่อให้มีขนาดหรือรูปร่างเพื่อตอบสนองวัตถุประสงค์เฉพาะ,Translated
1,672, , ,Skipped/Protected
1,673,Examples ,EXAMPLES,Translated
1,674, , ,Skipped/Protected
1,675,Plastic resin pellets ,เม็ดพลาสติกเรซิน,Translated
1,676,Powders used for the injection moulding of manufactured goods ,ผงที่ใช้สำหรับการฉีดขึ้นรูปสินค้าที่ผลิต,Translated
1,677,Microbeads used in some domestic cleaning and personal care products,ไมโครบีดส์ที่ใช้ในผลิตภัณฑ์ทำความสะอาดภายในบ้านและผลิตภัณฑ์ดูแลส่วนบุคคลบางชนิด,Translated
1,678,CONTINUE,CONTINUE,Skipped/Protected
1,679,CONTINUE,CONTINUE,Skipped/Protected
1,680,Continue,CONTINUE,Translated
1,681,Secondary microplastics,ไมโครพลาสติกทุติยภูมิ,Translated
1,682,"Fragments, flakes, or fibers that result from the breakdown of larger plastic items, either before or after entering the environment",เศษ เกล็ด หรือเส้นใยที่เกิดจากการแตกตัวของพลาสติกขนาดใหญ่ ทั้งก่อนหรือหลังออกสู่สิ่งแวดล้อม,Translated
1,683,CONTINUE,CONTINUE,Skipped/Protected
1,684,CONTINUE,CONTINUE,Skipped/Protected
1,685,Continue,CONTINUE,Translated
1,686,Data on Plastic Waste,ข้อมูลเกี่ยวกับขยะพลาสติก,Translated
1,687,Data on Plastic Waste,ข้อมูลเกี่ยวกับขยะพลาสติก,Translated
1,688,Let me show you some data which may  surprise you.,ฉันขอแสดงข้อมูลบางอย่างที่อาจทำให้คุณประหลาดใจ,Translated
1,689,"Plastic waste generation by industrial sector, 2015",การสร้างขยะพลาสติกแยกตามภาคอุตสาหกรรม พ.ศ. 2558,Translated
1,690,141 MT,141 เมตริกตัน,Translated
1,691,Packaging,บรรจุภัณฑ์,Translated
1,692,Textiles,สิ่งทอ,Translated
1,693,42 MT,42 เมตริกตัน,Translated
1,694,Other sectors,ภาคอื่นๆ,Translated
1,695,38 MT,38 เมตริกตัน,Translated
1,696,Consumer & Institutional Products,สินค้าอุปโภคบริโภคและสถาบัน,Translated
1,697,37 MT,37 เมตริกตัน,Translated
1,698,Transportation,การขนส่ง,Translated
1,699,17 MT,17 เมตริกตัน,Translated
1,700,Electrical/Electronic,ไฟฟ้า/อิเล็กทรอนิกส์,Translated
1,701,13 MT,13 ตัน,Translated
1,702,Building & Construction,อาคารและการก่อสร้าง,Translated
1,703,13 MT,13 ตัน,Translated
1,704,Industrial Machinery,เครื่องจักรอุตสาหกรรม,Translated
1,705,1 MT,1 เมตริกตัน,Translated
1,706,0 MT,0 ตัน,Translated
1,707,40 MT,40 ตัน,Translated
1,708,80 MT,80 ตัน,Translated
1,709,140 MT,140 ตัน,Translated
1,710,"Geyer, R., Jambeck, J. R. & Law, K. L. Production, use, and fate of all plastics ever made. Sci. Adv. 3, e1700782, ","Geyer, R., Jambeck, J. R. & Law, K. L. การผลิต การใช้ และชะตากรรมของพลาสติกทั้งหมดที่เคยผลิต วิทยาศาสตร์ โฆษณา 3,e1700782,",Translated
1,711,https://doi. org/10.1126/sciadv.1700782 (2017),https://doi. org/10.1126/sciadv.1700782 (2017),Skipped/Protected
1,712,.,.,Skipped/Protected
1,713,The highest plastic waste generation is by the packaging industry.,การผลิตขยะพลาสติกที่สูงที่สุดนั้นมาจากอุตสาหกรรมบรรจุภัณฑ์,Translated
1,714,Select the arrows to view more data on plastic waste.,เลือกลูกศรเพื่อดูข้อมูลเพิ่มเติมเกี่ยวกับขยะพลาสติก,Translated
1,715,"Professor Malee: Let me show you some data which may surprise you. In 2015, the packaging industry emerged as the largest contributor to plastic waste, generating an alarming 141 million tons, far exceeding any other industrial sector.  ",ศาสตราจารย์มาลี: ผมขอแสดงข้อมูลที่อาจทำให้คุณประหลาดใจ ในปี 2558 อุตสาหกรรมบรรจุภัณฑ์กลายเป็นผู้มีส่วนทำให้เกิดขยะพลาสติกรายใหญ่ที่สุด โดยก่อให้เกิดขยะพลาสติกถึง 141 ล้านตันอย่างน่าตกใจ ซึ่งมากกว่าภาคอุตสาหกรรมอื่นๆ มาก,Translated
1,716,"Textiles followed at 42 million tons, while other sectors such as consumer goods, transportation, and electronics trailed behind. ",สิ่งทอตามมาด้วยจำนวน 42 ล้านตัน ในขณะที่ภาคส่วนอื่นๆ เช่น สินค้าอุปโภคบริโภค การขนส่ง และอุปกรณ์อิเล็กทรอนิกส์ ตามหลัง,Translated
1,717, , ,Skipped/Protected
1,718,Select the arrows to view more data on plastic waste.  ,เลือกลูกศรเพื่อดูข้อมูลเพิ่มเติมเกี่ยวกับขยะพลาสติก,Translated
1,719, , ,Skipped/Protected
1,720,The graph on cumulative plastic waste generation and disposal tells a worrying story.  ,กราฟการสร้างและกำจัดขยะพลาสติกสะสมบอกเล่าเรื่องราวที่น่ากังวล,Translated
1,721, , ,Skipped/Protected
1,722,"Since the 1950s, plastic production has soared exponentially.  ",นับตั้งแต่ทศวรรษ 1950 การผลิตพลาสติกได้เพิ่มสูงขึ้นอย่างมาก,Translated
1,723, , ,Skipped/Protected
1,724,"By 2020, the world had already generated about 8,000 million metric tons of plastic.  ","ภายในปี 2563 โลกได้ผลิตพลาสติกไปแล้วประมาณ 8,000 ล้านเมตริกตัน",Translated
1,725, , ,Skipped/Protected
1,726,"If current trends continue unchecked, by 2050, nearly 12,000 million metric tons of plastic could end up discarded in landfills or leaking into the environment.  ","หากแนวโน้มปัจจุบันยังคงไม่ถูกตรวจสอบ ภายในปี 2593 พลาสติกเกือบ 12,000 ล้านเมตริกตันอาจถูกทิ้งในหลุมฝังกลบหรือรั่วไหลออกสู่สิ่งแวดล้อม",Translated
1,727, , ,Skipped/Protected
1,728,Select the arrows to view more data on plastic waste.  ,เลือกลูกศรเพื่อดูข้อมูลเพิ่มเติมเกี่ยวกับขยะพลาสติก,Translated
1,729, , ,Skipped/Protected
1,730,Look at this graph.  ,ดูกราฟนี้ครับ,Translated
1,731, , ,Skipped/Protected
1,732,"In Asia and the Pacific, plastic consumption generally rises with income and urbanization. However, cultural practices matter. ",ในเอเชียและแปซิฟิก โดยทั่วไปการบริโภคพลาสติกจะเพิ่มขึ้นตามรายได้และการขยายตัวของเมือง อย่างไรก็ตาม การปฏิบัติทางวัฒนธรรมมีความสำคัญ,Translated
1,733, , ,Skipped/Protected
1,734,"For example, Sri Lanka consumes less plastic per person than expected, largely due to home-based eating habits, while countries like Thailand with strong takeaway food cultures tend to use more plastic packaging. ",ตัวอย่างเช่น ศรีลังกาบริโภคพลาสติกต่อคนน้อยกว่าที่คาดไว้ ส่วนใหญ่เนื่องมาจากพฤติกรรมการกินที่บ้าน ในขณะที่ประเทศอย่างไทยซึ่งมีวัฒนธรรมอาหารที่ซื้อกลับบ้านมักจะใช้บรรจุภัณฑ์พลาสติกมากขึ้น,Translated
1,735, , ,Skipped/Protected
1,736,This shows that economic growth alone does not determine plastic use.  ,นี่แสดงให้เห็นว่าการเติบโตทางเศรษฐกิจเพียงอย่างเดียวไม่ได้กำหนดการใช้พลาสติก,Translated
1,737,Data on Plastic Waste,ข้อมูลเกี่ยวกับขยะพลาสติก,Translated
1,738,Cumulative Plastic Waste Generation and Disposal,การสร้างและกำจัดขยะพลาสติกสะสม,Translated
1,739,Million metric tons,ล้านเมตริกตัน,Translated
1,740,Primary waste generated,ขยะมูลฝอยที่เกิดขึ้น,Translated
1,741,All waste discarded,ขยะทั้งหมดถูกทิ้ง,Translated
1,742,All waste incinerated,ขยะทั้งหมดถูกเผา,Translated
1,743,All waste recycled,ขยะทั้งหมดรีไซเคิล,Translated
1,744,Cumulative Plastic waste generation in 2020,การสร้างขยะพลาสติกสะสมในปี 2563,Translated
1,745,8000,8000,Skipped/Protected
1,746,"Geyer, R., Jambeck, J. R. & Law, K. L. Production, use, and fate of all plastics ever made. Sci. Adv. 3, e1700782, ","Geyer, R., Jambeck, J. R. & Law, K. L. การผลิต การใช้ และชะตากรรมของพลาสติกทั้งหมดที่เคยผลิต วิทยาศาสตร์ โฆษณา 3,e1700782,",Translated
1,747,https://doi. org/10.1126/sciadv.1700782 (2017),https://doi. org/10.1126/sciadv.1700782 (2017),Skipped/Protected
1,748,.,.,Skipped/Protected
1,749,"If the current trend continues, 12,000 million MT of plastic would be discarded in landfills or environment by 2050.","หากแนวโน้มปัจจุบันยังคงดำเนินต่อไป พลาสติกจำนวน 12,000 ล้านตันจะถูกทิ้งในหลุมฝังกลบหรือสิ่งแวดล้อมภายในปี 2593",Translated
1,750,Select the arrows to view more data on plastic waste.,เลือกลูกศรเพื่อดูข้อมูลเพิ่มเติมเกี่ยวกับขยะพลาสติก,Translated
1,751,Data on Plastic Waste,ข้อมูลเกี่ยวกับขยะพลาสติก,Translated
1,752,More Plastic Consumption,การบริโภคพลาสติกมากขึ้น,Translated
1,753,Higher Income and Urbanization,รายได้ที่สูงขึ้นและการขยายตัวของเมือง,Translated
1,754,Plastic consumption per capita versus income per capita in 2017,การบริโภคพลาสติกต่อหัวเทียบกับรายได้ต่อหัวในปี 2560,Translated
1,755,100,100,Skipped/Protected
1,756,Plastic consumption (kg/capita),ปริมาณการใช้พลาสติก (กก./คน),Translated
1,757,Malaysia,มาเลเซีย,Translated
1,758,80,80,Skipped/Protected
1,759,Thailand,ประเทศไทย,Translated
1,760,China,จีน,Translated
1,761,60,60,Skipped/Protected
1,762,Vietnam,เวียดนาม,Translated
1,763,40,40,Skipped/Protected
1,764,Pakistan,ปากีสถาน,Translated
1,765,Bangladesh,บังคลาเทศ,Translated
1,766,India,อินเดีย,Translated
1,767,20,20,Skipped/Protected
1,768,Myanmar,พม่า,Translated
1,769,Indonesia,อินโดนีเซีย,Translated
1,770,Sri Lanka,ศรีลังกา,Translated
1,771,Philippines,ฟิลิปปินส์,Translated
1,772,0,0,Skipped/Protected
1,773,0,0,Skipped/Protected
1,774,2000,2000,Skipped/Protected
1,775,4000,4000,Skipped/Protected
1,776,6000,6000,Skipped/Protected
1,777,8000,8000,Skipped/Protected
1,778,10000,10000,Skipped/Protected
1,779,12000,12000,Skipped/Protected
1,780,GDP per capita (US$),GDP ต่อหัว (ดอลลาร์สหรัฐ),Translated
1,781,Sri Lanka:,ศรีลังกา:,Translated
1,782,Thailand:,ประเทศไทย:,Translated
1,783,Home-Based Eating Habits,นิสัยการกินที่บ้าน,Translated
1,784,Takeaway Food Culture,วัฒนธรรมอาหารซื้อกลับบ้าน,Translated
1,785,Low Plastic Usage,การใช้พลาสติกต่ำ,Translated
1,786,High,สูง,Translated
1,787, Plastic Usage,การใช้พลาสติก,Translated
1,788,Economic Growth ,การเติบโตทางเศรษฐกิจ,Translated
1,789,≠,≠,Skipped/Protected
1,790, Plastic Use,การใช้พลาสติก,Translated
1,791,"Geyer, R., Jambeck, J. R. & Law, K. L. Production, use, and fate of all plastics ever made. Sci. Adv. 3, e1700782, ","Geyer, R., Jambeck, J. R. & Law, K. L. การผลิต การใช้ และชะตากรรมของพลาสติกทั้งหมดที่เคยผลิต วิทยาศาสตร์ โฆษณา 3,e1700782,",Translated
1,792,https://doi. org/10.1126/sciadv.1700782 (2017),https://doi. org/10.1126/sciadv.1700782 (2017),Skipped/Protected
1,793,.,.,Skipped/Protected
1,794,DPSIR framework,กรอบการทำงานของ DPSIR,Translated
1,795,DPSIR framework,กรอบการทำงานของ DPSIR,Translated
1,796,What drives the consumption of plastic and what’s the impact?,อะไรเป็นตัวขับเคลื่อนการบริโภคพลาสติก และผลกระทบคืออะไร,Translated
1,797,I think I’ll be able to answer your question better if I explain the DPSIR framework.,ฉันคิดว่าฉันสามารถตอบคำถามของคุณได้ดีขึ้นหากฉันอธิบายกรอบงาน DPSIR,Translated
1,798,Explains how plastic waste affects our environment through a chain of interconnected factors,อธิบายว่าขยะพลาสติกส่งผลต่อสิ่งแวดล้อมของเราอย่างไรผ่านห่วงโซ่ของปัจจัยที่เชื่อมโยงถึงกัน,Translated
1,799,The data on plastic consumption and waste in the Asia and Pacific region is disturbing.,ข้อมูลการใช้พลาสติกและขยะในภูมิภาคเอเชียและแปซิฟิกกำลังน่ากังวล,Translated
1,800,D,D,Skipped/Protected
1,801,rivers,แม่น้ำ,Translated
1,802,"Include population growth, urbanization, and changing consumption patterns",รวมถึงการเติบโตของประชากร การขยายตัวของเมือง และรูปแบบการบริโภคที่เปลี่ยนแปลงไป,Translated
1,803,R,R,Skipped/Protected
1,804,esponses,คำตอบ,Translated
1,805,P,P,Skipped/Protected
1,806,ressures,มั่นใจ,Translated
1,807,"Involve policies such as bans, recycling targets, and extended producer responsibility",เกี่ยวข้องกับนโยบายต่างๆ เช่น การห้าม เป้าหมายการรีไซเคิล และการขยายความรับผิดชอบของผู้ผลิต,Translated
1,808,Include increased resource use and waste generation,รวมถึงการใช้ทรัพยากรที่เพิ่มขึ้นและการสร้างของเสีย,Translated
1,809,I,I,Skipped/Protected
1,810,mpacts,เอ็มแพ็กต์,Translated
1,811,S,S,Skipped/Protected
1,812,tate,เทต,Translated
1,813,"Include harm to ecosystems, human health, and livelihoods",รวมถึงอันตรายต่อระบบนิเวศ สุขภาพของมนุษย์ และการดำรงชีวิต,Translated
1,814,Deteriorates as plastic accumulates on land and in oceans,เสื่อมสภาพเมื่อพลาสติกสะสมบนบกและในมหาสมุทร,Translated
1,815,"Most responses focus on packaging and single-use  plastics, which are the largest contributors to waste.",การตอบสนองส่วนใหญ่มุ่งเน้นไปที่บรรจุภัณฑ์และพลาสติกแบบใช้ครั้งเดียว ซึ่งเป็นสาเหตุให้เกิดขยะมากที่สุด,Translated
1,816,"Most responses focus on packaging and single-use plastics, which are the largest contributors to waste.",การตอบสนองส่วนใหญ่มุ่งเน้นไปที่บรรจุภัณฑ์และพลาสติกแบบใช้ครั้งเดียว ซึ่งเป็นสาเหตุให้เกิดขยะมากที่สุด,Translated
1,817,Daniel: The data on plastic consumption and waste in the Asia and Pacific region is disturbing. What drives this consumption and what’s the impact?  ,แดเนียล: ข้อมูลการใช้พลาสติกและขยะในภูมิภาคเอเชียและแปซิฟิกกำลังน่ากังวล อะไรเป็นตัวขับเคลื่อนการบริโภคนี้ และผลกระทบคืออะไร?,Translated
1,818, , ,Skipped/Protected
1,819,"Professor Malee: I think I’ll be able to answer your question better if I explain the DPSIR framework - Drivers, Pressures, State, Impacts, and Responses.  ",ศาสตราจารย์มาลี: ฉันคิดว่าฉันสามารถตอบคำถามของคุณได้ดีขึ้นถ้าฉันอธิบายกรอบการทำงานของ DPSIR - ตัวขับเคลื่อน ความกดดัน รัฐ ผลกระทบ และการตอบสนองต่อ,Translated
1,820, , ,Skipped/Protected
1,821,This framework explains how plastic waste affects our environment through a chain of interconnected factors. ,กรอบการทำงานนี้อธิบายว่าขยะพลาสติกส่งผลกระทบต่อสิ่งแวดล้อมของเราอย่างไรผ่านห่วงโซ่ของปัจจัยที่เชื่อมโยงถึงกัน,Translated
1,822, , ,Skipped/Protected
1,823,"Drivers include population growth, urbanization, and changing consumption patterns.  ",ปัจจัยขับเคลื่อน ได้แก่ การเติบโตของประชากร การขยายตัวของเมือง และรูปแบบการบริโภคที่เปลี่ยนแปลงไป,Translated
1,824, , ,Skipped/Protected
1,825,"These create Pressures, such as increased resource use and waste generation.  ",สิ่งเหล่านี้สร้างแรงกดดัน เช่น การใช้ทรัพยากรที่เพิ่มขึ้นและการสร้างของเสีย,Translated
1,826, , ,Skipped/Protected
1,827,The State of ecosystems deteriorates as plastic accumulates on land and in oceans.  ,สถานะของระบบนิเวศเสื่อมโทรมเนื่องจากพลาสติกสะสมบนบกและในมหาสมุทร,Translated
1,828, , ,Skipped/Protected
1,829,"The Impacts include harm to ecosystems, human health, and livelihoods.  ",ผลกระทบดังกล่าวรวมถึงอันตรายต่อระบบนิเวศ สุขภาพของมนุษย์ และการดำรงชีวิต,Translated
1,830, , ,Skipped/Protected
1,831,"Responses involve policies such as bans, recycling targets, and extended producer responsibility.  ",การตอบสนองเกี่ยวข้องกับนโยบายต่างๆ เช่น การห้าม เป้าหมายการรีไซเคิล และการขยายความรับผิดชอบของผู้ผลิต,Translated
1,832, , ,Skipped/Protected
1,833,"Most of these efforts focus on packaging and single-use plastics, which are the major contributors to waste. ",ความพยายามเหล่านี้ส่วนใหญ่มุ่งเน้นไปที่บรรจุภัณฑ์และพลาสติกแบบใช้ครั้งเดียว ซึ่งเป็นสาเหตุหลักของขยะ,Translated
1,834,Is Plastic Ban the Solution?,การแบนพลาสติกคือทางออกหรือไม่?,Translated
1,835,Is Plastic Ban the Solution?,การแบนพลาสติกคือทางออกหรือไม่?,Translated
1,836,Do you think a total ban on plastic or imposing punishments for using plastic is a viable strategy to reduce plastic waste?,คุณคิดว่าการห้ามใช้พลาสติกโดยสิ้นเชิงหรือการลงโทษการใช้พลาสติกเป็นกลยุทธ์ในการลดขยะพลาสติกหรือไม่ เพราะเหตุใด,Translated
1,837,Select an option and select SUBMIT.,เลือกตัวเลือกและเลือกส่ง,Translated
1,838,"Yes, strict bans and penalties can discourage people from using plastic and may help reduce plastic waste.",ใช่ การห้ามและบทลงโทษที่เข้มงวดสามารถกีดกันผู้คนจากการใช้พลาสติกและอาจช่วยลดขยะพลาสติก,Translated
1,839,"No, without practical and accessible substitutes, bans and punishments are unlikely to be effective.",ไม่ หากไม่มีสิ่งทดแทนในทางปฏิบัติและเข้าถึงได้ การแบนและการลงโทษไม่น่าจะมีประสิทธิภาพ,Translated
1,840,"No, without practical and accessible substitutes, bans and punishments are unlikely to be effective.",ไม่ หากไม่มีสิ่งทดแทนในทางปฏิบัติและเข้าถึงได้ การแบนและการลงโทษไม่น่าจะมีประสิทธิภาพ,Translated
1,841,"Maybe, it depends on how the bans are implemented.",บางทีมันอาจขึ้นอยู่กับว่าจะมีการบังคับใช้แบนอย่างไร,Translated
1,842,"Maybe, it depends on how the bans are implemented.",บางทีมันอาจขึ้นอยู่กับว่าจะมีการบังคับใช้แบนอย่างไร,Translated
1,843,I am not sure.,ฉันไม่แน่ใจ.,Translated
1,844,SUBMIT,ส่งข้อมูล,Translated
1,845,SUBMIT,ส่งข้อมูล,Translated
1,846,SUBMIT,ส่งข้อมูล,Translated
1,847,Professor Malee: Let me ask you a question. Do you think a total ban on plastic or imposing punishments for using plastic is a viable strategy to reduce plastic waste? ,ศาสตราจารย์มาลี: ผมขอถามคำถามคุณหน่อยนะครับ คุณคิดว่าการห้ามใช้พลาสติกโดยสิ้นเชิงหรือการลงโทษการใช้พลาสติกเป็นกลยุทธ์ในการลดขยะพลาสติกหรือไม่ เพราะเหตุใด,Translated
1,848, , ,Skipped/Protected
1,849,Select an option and select SUBMIT. ,เลือกตัวเลือกและเลือกส่ง,Translated
1,850, , ,Skipped/Protected
1,851,Banning plastics fails without affordable alternatives.  ,การห้ามใช้พลาสติกล้มเหลวหากไม่มีทางเลือกอื่นที่เหมาะสม,Translated
1,852, , ,Skipped/Protected
